state_id,party_id,general_votes,postal_votes,total_votes,total_electors
12,92,36085,32,36117,25118549
12,100,1605,2,1607,1876965
12,104,36905,8,36913,11183721
12,107,924,0,924,1458381
12,110,1124480,292,1124772,48121301
12,123,96664,19,96683,8380133
12,125,5842,0,5842,3693289
12,126,16364,11,16375,3579541
12,127,11829,8,11837,5015459
12,143,169364,89,169453,19413362
12,163,10334725,5549,10340274,48121301
12,164,548791,76,548867,215153247
12,173,9053,0,9053,1711621
12,179,13108,8,13116,1702576
12,193,7625,1,7626,6972982
12,196,4719,0,4719,1876965
12,228,1429,0,1429,1702457
12,231,2100,1,2101,1876965
12,245,6233,0,6233,3332317
12,255,2078,0,2078,3501960
12,269,391697,140,391837,48121301
12,271,11810,3,11813,3385718
12,282,1484,0,1484,1702833
12,285,3094,0,3094,1528863
12,295,21247,37,21284,8493289
12,297,796,0,796,1957241
12,303,1723,1,1724,3817760
12,334,7079,2,7081,4933877
12,335,3250,0,3250,1629741
12,341,7430,0,7430,5282255
12,370,10422,0,10422,4938175
12,375,5557,0,5557,1957241
12,377,2625,0,2625,1702833
12,385,221265,41,221306,18710633
12,394,2682,0,2682,3834206
12,397,4668,0,4668,1607831
13,NULL,64306,45,64351,49707484
13,1,1087506,1491,1088997,80798823
13,7,1395,0,1395,1367362
13,8,641,0,641,2073251
13,10,1077,0,1077,1655852
13,25,12072,4,12076,11964787
13,31,13359,2,13361,4949449
13,43,4727,1,4728,5005243
13,48,16449,12,16461,6707931
13,52,987,0,987,1655852
13,60,360651,203,360854,39425066
13,80,13289770,19191,13308961,40331286
13,82,1337,0,1337,1686957
13,92,211868,261,212129,80798823
13,110,1270612,1068,1271680,80798823
13,113,293569,112,293681,1578149
13,123,55528,5,55533,6454657
13,125,3795,0,3795,3432558
13,126,181590,39,181629,6288325
13,131,1261,1,1262,1900784
13,143,10912,7,10919,6798454
13,150,8010,5,8015,8892051
13,152,4640,0,4640,3534602
13,153,887,1,888,1775416
13,163,8818659,11531,8830190,42877231
13,164,1576691,423,1577114,757150104
13,173,2863,2,2865,4949188
13,178,14220,14,14234,6808040
13,179,17986,9,17995,5440719
13,193,414,0,414,1485844
13,219,8070,1,8071,8420483
13,234,4234,1,4235,3490849
13,245,4989,3,4992,6762081
13,246,707193,817,708010,17410028
13,249,13327,12,13339,17533345
13,250,3712,3,3715,5162692
13,260,7775466,6809,7782275,36343443
13,265,308,0,308,1737084
13,269,432708,463,433171,80798823
13,274,1725,0,1725,1595435
13,282,4332,0,4332,5217721
13,283,7219,3,7222,1835835
13,291,330,1,331,1783870
13,293,14236,2,14238,17294939
13,299,497593,128,497721,5244815
13,309,2908,2,2910,3995285
13,330,2735,1,2736,1753690
13,333,73903,81,73984,15201635
13,334,71630,178,71808,1719998
13,335,7352,2,7354,5045297
13,345,451155,688,451843,1813553
13,346,3282,1,3283,1612056
13,352,1916,1,1917,1707969
13,377,10038444,12208,10050652,33576060
13,385,73707,25,73732,38470338
13,386,8984,2,8986,4945164
13,395,394,0,394,1783870
13,396,944,0,944,1792652
13,398,1103210,1863,1105073,3357926
13,427,15906,3,15909,10228554
14,1,7599,5,7604,1774369
14,31,52644,11,52655,1774369
14,80,168246,26,168272,1774369
14,123,197420,8,197428,855360
14,163,588703,169,588872,1774369
14,164,43012,1,43013,3612387
14,179,1085,0,1085,919009
14,193,1403,0,1403,855360
14,239,2004,1,2005,855360
14,260,61655,7,61662,919009
14,269,7504,0,7504,1774369
14,272,281121,12,281133,919009
15,1,8812,3,8815,980740
15,80,95959,20,95979,980740
15,123,7418,0,7418,980740
15,163,408856,69,408925,1567241
15,164,180634,24,180658,2942220
15,269,30131,14,30145,1567241
15,271,239239,62,239301,586501
15,415,106806,11,106817,980740
16,1,11515,375,11890,702170
16,163,209573,912,210485,702170
16,164,198203,6128,204331,702170
16,269,6410,85,6495,702170
17,163,313088,59,313147,1182972
17,269,2695,1,2696,1182972
17,272,712888,484,713372,1182972
17,386,9690,5,9695,1182972
18,NULL,11068,3,11071,12302303
18,1,3372023,1039,3373062,19608161
18,14,4380,0,4380,1525289
18,25,1168,0,1168,1561201
18,58,837,0,837,1564721
18,70,5471,0,5471,6079983
18,80,1208440,564,1209004,4462885
18,92,11374,5,11379,13545042
18,110,263170,57,263227,19608161
18,111,11103,1,11104,7697730
18,123,54785,0,54785,7437690
18,124,11605,0,11605,4450369
18,125,5879,0,5879,1424743
18,126,17964,1,17965,4550665
18,129,5239,1,5240,7502197
18,130,833,0,833,1477262
18,161,5084,0,5084,2980364
18,163,4575264,615,4575879,19608161
18,164,498014,25,498039,178794549
18,173,2261,0,2261,1424743
18,174,1930,0,1930,1396957
18,179,2925,0,2925,1561201
18,188,7826,0,7826,4483447
18,240,3645,0,3645,1500337
18,258,3109,0,3109,4457626
18,260,2149,0,2149,1396957
18,269,58740,14,58754,19608161
18,286,1385,1,1386,1525289
18,333,1531,0,1531,1455075
18,334,2150,1,2151,3016276
18,368,3635207,941,3636148,15145276
18,369,35491,25,35516,13517864
18,377,12179,7,12186,9158621
18,385,922,0,922,1477262
18,392,6680,1,6681,4549032
19,NULL,144200,562,144762,17492749
19,1,271232,1409,272641,37816584
19,3,4380,0,4380,3535743
19,5,565,1,566,1626442
