state_id,party_id,general_votes,postal_votes,total_votes,total_electors
8,25,7068,29,7097,3902816
8,47,1864,8,1872,1281462
8,80,2620691,40590,2661281,5330154
8,92,462,11,473,1362269
8,104,714,37,751,1281462
8,110,32392,388,32780,5330154
8,125,14742,96,14838,1281462
8,163,1044305,6808,1051113,5330154
8,164,35291,419,35710,24177354
8,269,32552,456,33008,5330154
8,611,950,20,970,1427338
8,713,2355,16,2371,1427338
8,739,508,3,511,1281462
8,752,3789,10,3799,2540547
8,825,2264,55,2319,1362269
8,863,1819,20,1839,2708800
9,25,3833,33,3866,2047302
9,80,1618481,29560,1648041,7922538
9,110,30495,382,30877,3733118
9,152,1261,20,1281,2047302
9,163,1004876,6651,1011527,6627867
9,164,223531,2708,226239,57217487
9,179,1246,4,1250,1294671
9,187,279597,759,280356,4010188
9,188,33398,646,34044,7743306
9,191,83530,524,84054,2715517
9,197,133426,186,133612,4010188
9,269,21232,507,21739,7922538
9,359,500,6,506,1294671
9,377,3307,123,3430,5027789
9,595,25325,1263,26588,3733118
9,622,1708,15,1723,2047302
9,643,1584,28,1612,2047302
9,684,2171,13,2184,2692450
9,725,2701,75,2776,3733118
9,731,36620,80,36700,1294671
9,744,185,32,217,1397779
10,9,4623,1,4624,1775095
10,47,3632,3,3635,1775095
10,52,22603,16,22619,6807919
10,60,5957,14,5971,3410143
10,73,1647,2,1649,1945765
10,77,3342,2,3344,1775095
10,80,17995066,58388,18053454,49382526
10,92,645,0,645,1704010
10,110,410956,1426,412382,51094530
10,123,17222,5,17227,1608545
10,125,21910,13,21923,5059279
10,137,428,1,429,2204817
10,147,385,0,385,2849250
10,150,4397,3,4400,5226573
10,162,3904,2,3906,5093308
10,163,11185553,17463,11203016,39576322
10,164,1365856,1985,1367841,498531284
10,178,3392297,4932,3397229,11518208
10,204,695,1,696,2849250
10,213,2500,10,2510,2215489
10,261,1137,1,1138,1775095
10,269,250454,356,250810,51094530
10,280,1318,2,1320,3932128
10,292,20757,3,20760,11531943
10,297,3538,1,3539,1513806
10,333,1050,9,1059,1612556
10,334,6518,27,6545,5906769
10,345,4856,7,4863,3502364
10,375,46834,5,46839,1724976
10,377,14348,2,14350,3265540
10,380,14210,3,14213,6179916
10,421,540,0,540,2215489
10,475,4989,3,4992,1712004
10,479,1186,3,1189,1727311
10,498,826,3,829,1727311
10,518,2027,1,2028,4624345
10,525,2158,1,2159,3720860
10,535,2372,0,2372,3526829
10,538,1678,7,1685,1556599
10,566,3381,4,3385,6781378
10,597,1438,4,1442,1712004
10,617,3008,9,3017,4420306
10,621,20205,30,20235,5294670
10,623,4623,2,4625,1633064
10,659,2010,3,2013,3512790
10,660,1707,0,1707,1775095
10,661,3082,2,3084,9078336
10,663,1206,1,1207,2849250
10,665,3686,11,3697,3582666
10,691,1609,0,1609,1736693
10,743,742,0,742,1775095
10,744,2049,6,2055,3976122
10,747,1240,1,1241,1775095
10,778,3124,4,3128,1556599
10,793,14733,13,14746,6767137
10,796,5080,1,5081,6342908
10,806,811,0,811,1704010
10,808,1030,3,1033,2849250
10,818,4991,0,4991,1808780
10,830,1009,7,1016,1704010
10,846,3397,0,3397,1751734
10,856,24483,22,24505,13379869
10,879,120602,198,120800,49342796
11,47,3951,7,3958,3985414
11,80,2622677,13133,2635810,19859372
11,110,49835,318,50153,20995837
11,123,1227825,6061,1233886,5376318
11,125,5245300,24941,5270241,23499211
11,163,7576177,20433,7596610,20974071
11,164,816064,1395,817459,151974659
11,173,1110591,1106,1111697,2727347
11,215,420294,752,421046,1206698
11,236,871,0,871,1230197
11,269,103078,518,103596,26204836
11,343,497264,2413,499677,1296720
11,345,379,0,379,1245972
11,375,80076,35,80111,13149092
11,421,1624,4,1628,1204191
11,439,319,1,320,1359679
11,472,844,1,845,1359679
11,527,378992,1855,380847,5138766
11,657,154658,477,155135,1206698
11,704,2829,4,2833,1288926
11,731,3155,1,3156,2586898
11,738,1692,3,1695,1371427
11,830,802,2,804,2626229
11,846,932,0,932,1245972
11,856,11412,115,11527,11737160
12,7,3081,0,3081,1575064
12,25,3234,2,3236,3607429
12,47,32394,29,32423,14594953
12,55,6332,3,6335,3499427
12,80,21355863,51048,21406911,51867474
12,92,34615,27,34642,16132987
12,104,61731,27,61758,19437670
12,110,876364,1649,878013,44732384
12,123,91677,27,91704,7104131
12,125,14248,23,14271,3525081
12,143,111197,315,111512,15768044
12,152,17750,17,17767,15486472
12,163,12713933,19141,12733074,51867474
12,164,698832,316,699148,321755517
12,179,6315,5,6320,1851112
12,245,4453,2,4455,2350580
12,269,340542,442,340984,51867474
12,280,1890,0,1890,1767725
12,285,9905,1,9906,1647399
12,295,4609,3,4612,1741604
12,296,1203,1,1204,2000744
12,325,1430,1,1431,1837723
12,334,9292,7,9299,7078227
12,339,1110,3,1113,2000744
12,342,7354,7,7361,3846291
12,345,2161,3,2164,1575064
12,363,5694,2,5696,1679534
12,377,9872,28,9900,8799703
12,385,82548,114,82662,3489494
12,386,527,1,528,2350580
12,404,2687,1,2688,2142861
12,405,9393,3,9396,1694329
12,425,4285,9,4294,1837723
12,452,571,1,572,2142861
12,453,3467,5,3472,3676468
12,460,46481,114,46595,7006822
12,479,5583,1,5584,1851112
12,484,4024,0,4024,1909055
12,491,6874,5,6879,3521629
12,503,2359,1,2360,1647399
12,504,1423,1,1424,1514783
12,507,930,3,933,1837723
12,512,1321,4,1325,1679534
12,518,7760,0,7760,1760875
12,535,16567,31,16598,13043667
12,541,1055,0,1055,1575064
12,548,1389,3,1392,1819893
12,554,3433,2,3435,1767725
12,560,1311,0,1311,1575064
12,578,4630,2,4632,3480480
12,579,14704,80,14784,1851112
12,586,3351,2,3353,1656474
12,626,7886,2,7888,5711795
12,628,3100,12,3112,5908939
12,645,469,4,473,2142861
12,648,1150,8,1158,1679534
12,664,2582,1,2583,1679534
12,668,2421,5,2426,1679534
12,696,15467,5,15472,5324179
12,707,1747,1,1748,1760875
12,739,35675,28,35703,12434143
12,744,23871,30,23901,15804864
12,745,2304,0,2304,1768777
12,760,929,1,930,1837723
12,762,2271,1,2272,1514783
12,794,824,1,825,1837723
12,805,1964,1,1965,1842095
12,808,483,1,484,2142861
12,813,10552,2,10554,1842095
12,816,6368,0,6368,1845547
12,831,416,2,418,2142861
12,835,15553,5,15558,9093166
12,839,1670,2,1672,1679534
12,845,11872,5,11877,7489085
12,849,28596,22,28618,18361499
12,856,3525,15,3540,5819329
12,862,967,1,968,1837723
12,864,526,1,527,2142861
13,8,849,1,850,2370903
13,10,480,0,480,2161096
13,26,722,0,722,1679891
13,27,388784,258,389042,1886284
13,43,7378,6,7384,7270725
13,47,51611,82,51693,30151576
13,48,4376,23,4399,3576374
13,80,14842490,69649,14912139,46238175
13,91,619,1,620,1908173
13,92,76272,307,76579,65626130
13,104,882,23,905,1811556
13,110,460621,1918,462539,79438202
13,113,491391,205,491596,1885600
13,123,37349,46,37395,3572307
13,125,111183,89,111272,5816796
13,127,1169,0,1169,2161096
13,143,5761,17,5778,3826373
13,150,5580,17,5597,7626432
13,152,2087,9,2096,4302303
13,155,3743,7,3750,1909574
13,163,8761983,30254,8792237,44661880
13,164,1985752,5740,1991492,786891865
13,173,8435,5,8440,5474456
13,193,1347,0,1347,1554176
13,245,672,1,673,2161096
13,257,1652,2,1654,4018253
13,260,8352567,34796,8387363,36710711
13,267,4590,0,4590,1886284
13,269,486485,2281,488766,88676946
13,280,1589,0,1589,1910188
13,282,2712,0,2712,5085947
13,293,10437,9,10446,7458001
13,307,1570,4,1574,1916185
13,309,1819,1,1820,1587079
