candidate,sex,age,general_votes,postal_votes,total_votes,total_electors,state_id,category_id,party_id,pc_id
NOTA,null,null,13178,40,13218,1468671,1,null,269,31
THOGANTI SREENIVASULU,M,44,7587,642,8229,1556469,1,3,80,32
MAGUNTA SREENIVASULU REDDY,M,65,729344,9858,739202,1556469,1,3,428,32
SIDDA RAGHAVA RAO,M,61,516287,8064,524351,1556469,1,3,406,32
DR SIRIVELLA PRASAD,M,51,8001,138,8139,1556469,1,3,163,32
KONDA PRAVEEN KUMAR,M,45,805,6,811,1556469,1,0,273,32
BELLAMKONDA SAIBABU,M,49,29054,325,29379,1556469,1,3,647,32
MARAM SRINIVASA REDDY,M,27,3253,5,3258,1556469,1,3,742,32
VENKATESAN BABURAO,M,34,1068,5,1073,1556469,1,3,623,32
KAVURI VENU BABU NAIDU,M,41,564,1,565,1556469,1,3,164,32
BILLA CHENNAIAH,M,49,671,2,673,1556469,1,2,164,32
MADHU YATTAPU,M,33,1160,0,1160,1556469,1,3,164,32
MOHAN AYYAPPA,M,29,1451,0,1451,1556469,1,3,164,32
VENKATESH VEPURI,M,32,3208,4,3212,1556469,1,3,164,32
NOTA,null,null,20843,22,20865,1556469,1,null,269,32
ADINARAYANA INTY,M,67,8794,272,9066,1603220,1,3,80,33
JANGITE LAKSHMI NARASIMHA YADAV,M,33,14313,107,14420,1603220,1,3,163,33
POCHA . BRAHMANANDA REDDY,M,60,715024,5864,720888,1603220,1,3,428,33
MANDRA SIVANANDA REDDY,M,57,466869,3900,470769,1603220,1,3,406,33
D. P. JAMAL BASHA.,M,48,3981,108,4089,1603220,1,3,514,33
PULA. NAGAMADDILETY,M,40,931,6,937,1603220,1,2,43,33
D. MAHAMMAD RAFI .,M,29,645,4,649,1603220,1,3,66,33
RUDDIREDDY RADHAKRISHNA,M,38,667,6,673,1603220,1,3,25,33
S.P.Y. REDDY,M,69,38568,303,38871,1603220,1,3,647,33
S. A. INDUMATHI,F,42,842,5,847,1603220,1,2,164,33
ELLURI. BHUPAL.,M,39,667,1,668,1603220,1,2,164,33
K.P. KAMBAGIRISWAMY.,M,40,765,2,767,1603220,1,3,164,33
JESTADI SUDHAKAR,M,38,4542,0,4542,1603220,1,2,164,33
I.V. PAKKIR REDDY,M,70,3103,0,3103,1603220,1,3,164,33
POLURU GURUVAIAH,M,39,6099,0,6099,1603220,1,3,164,33
BHUMA KISHOR REDDY,M,35,4848,4,4852,1603220,1,3,164,33
B.C. RAMANATHA REDDY,M,54,2543,0,2543,1603220,1,3,164,33
Dr. LAKSHMI KANTHA REDDY CHITLA,M,34,1428,1,1429,1603220,1,3,164,33
VANGALA PARAMESWARA REDDY.,M,40,2380,2,2382,1603220,1,3,164,33
C. SURENDRA NATH REDDY,M,54,1708,0,1708,1603220,1,3,164,33
NOTA,null,null,9759,32,9791,1603220,1,null,269,33
AHMED ALI KHAN,M,42,36411,89,36500,1573009,1,3,163,34
KOTLA JAYA SURYA PRAKASH REDDY,M,67,453071,3324,456395,1573009,1,3,406,34
Dr. PARTHASARATHI VALMIKI,M,48,24177,241,24418,1573009,1,3,80,34
K. PRABHAKARA REDDY,M,58,18964,101,19065,1573009,1,3,125,34
AYUSHMAN DOCTOR SANJEEV KUMAR,M,52,603098,2364,605462,1573009,1,3,428,34
ABDUL WARIS,M,58,7289,4,7293,1573009,1,3,375,34
KASULA RAJASEKHAR,M,46,1228,3,1231,1573009,1,3,292,34
DANDU SESHU YADAV,M,39,3280,2,3282,1573009,1,3,385,34
M. NAGANNA,M,66,1283,2,1285,1573009,1,2,856,34
S.MD. SHAFATH,M,30,1228,1,1229,1573009,1,3,798,34
G Sanjeeva Kumar,M,38,2105,2,2107,1573009,1,2,846,34
H. THOMAS,M,47,1499,7,1506,1573009,1,3,164,34
DEVARAPOGU MADDILETY,M,45,1701,1,1702,1573009,1,2,164,34
BALIJA. SHIVA KUMAR,M,40,2751,0,2751,1573009,1,3,164,34
T. BEECHUPALLY,M,26,9807,0,9807,1573009,1,3,164,34
SRIHARI. P. V.,M,51,6574,3,6577,1573009,1,3,164,34
NOTA,null,null,7691,26,7717,1573009,1,null,269,34
D.JAGADEESH,M,58,20192,102,20294,1664160,1,3,123,35
TALARI RANGAIAH,M,48,690901,4307,695208,1664160,1,3,428,35
J.C. PAVAN REDDY,M,45,550597,3183,553780,1664160,1,3,406,35
K.RAJIV REDDY,M,29,29994,85,30079,1664160,1,3,163,35
HAMSA DEVINENI,F,33,7440,164,7604,1664160,1,3,80,35
GADIDAMA RANGANAYAKULU,M,43,728,0,728,1664160,1,2,888,35
P.RADHA KRISHNA,M,40,1219,1,1220,1664160,1,3,770,35
G. LALITHA,F,56,890,9,899,1664160,1,3,856,35
M.VENKATESULU,M,48,1043,5,1048,1664160,1,3,292,35
S.V.P. YADAV,M,51,4398,0,4398,1664160,1,3,164,35
P. RANGAIAH,M,48,3580,8,3588,1664160,1,3,164,35
L. RANGAIAH,M,70,1688,3,1691,1664160,1,3,164,35
VADDE KASINATH,M,28,2063,3,2066,1664160,1,3,164,35
SOMANATH DESHMUKH,M,50,3236,1,3237,1664160,1,3,164,35
NOTA,null,null,16406,60,16466,1664160,1,null,269,35
KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),M,41,26973,183,27156,1578218,1,3,163,36
KURUVA GORANTLA MADHAV,M,50,699739,6863,706602,1578218,1,3,428,36
KRISTAPPA . NIMMALA,M,63,561602,4252,565854,1578218,1,3,406,36
MITTA PARTHASARATHI,M,60,13530,275,13805,1578218,1,3,80,36
Ram Mohan Singamneni,M,33,1305,8,1313,1578218,1,3,292,36
S.R.Anjaneyulu,M,35,1215,12,1227,1578218,1,3,164,36
GOGULA PULAKUNTA JAYANTH,M,61,1578,4,1582,1578218,1,3,164,36
Mugi Surya Prakash,M,63,1315,1,1316,1578218,1,3,164,36
Ramamohan D.G.,M,51,2230,1,2231,1578218,1,3,164,36
NOTA,null,null,17356,72,17428,1578218,1,null,269,36
Y.S.Avinash Reddy,M,34,777967,5532,783499,1570330,1,3,428,37
Adi Narayana Reddy Chadipirala,M,61,400142,2631,402773,1570330,1,3,406,37
Gundlakunta Sreeramulu,M,42,8280,61,8341,1570330,1,3,163,37
Gujjula Eswaraiah,M,50,6152,90,6242,1570330,1,3,123,37
Sri Rama Chandra Singareddy,M,50,3917,168,4085,1570330,1,3,80,37
Ameen Peeran,M,48,571,2,573,1570330,1,3,43,37
Putha Lakshmi Reddy,M,32,365,3,368,1570330,1,3,311,37
Pedakala Varalakshmi,F,43,705,11,716,1570330,1,3,292,37
C S N Reddy,M,53,445,1,446,1570330,1,3,725,37
Anna Siva Chandra Reddy,M,39,1398,24,1422,1570330,1,3,514,37
Gona Purushottam Reddy,M,40,1131,3,1134,1570330,1,3,164,37
Jakku Chenna Krishna Reddy,M,44,578,1,579,1570330,1,3,164,37
Nyamatulla Shaik,M,31,755,4,759,1570330,1,3,164,37
P. S. S. Reddy,M,54,865,0,865,1570330,1,3,164,37
R. Venu Gopal,M,39,1748,0,1748,1570330,1,3,164,37
NOTA,null,null,14629,63,14692,1570330,1,null,269,37
Adala Prabhakara Reddy,M,70,677014,6816,683830,1672845,1,3,428,38
Chandra Rajagopal,M,67,18571,259,18830,1672845,1,3,125,38
Chevuru Devakumar Reddy,M,61,9973,48,10021,1672845,1,3,163,38
