party_id,party,symbol
512,AVVP,Refrigerator
513,AYP,Bread
514,AYSRCP,Football Player
515,BAAP,Fountain
516,BAEP,Scissors
517,BAHAP,Auto- Rickshaw
518,BAHUMP,Whistle
519,BAJD,Air Conditioner
520,BALP,Plate Containing Food
521,BARESP,Air Conditioner
522,BARP,Crane
523,BASAPA,Battery Torch
524,BAWPA,Tooth Brush
525,BBKD,Television
526,BBPP,Green Chilli
527,BDJS,Pot
528,BDLP,Shoe
529,BDPTY,Ganna Kisan
530,BEPP,Road Roller
531,BGANP,Pot
532,BHABHAPA,Stethoscope
533,BHAIP,Auto- Rickshaw
534,BHAMAP,Capsicum
535,BHAPRAP,Ludo
536,BHARP,Helicopter
537,BHAZS,Football
538,BHBHP,Tooth Brush
539,BHBSP,Kettle
540,BHHF,HOCKEY & BALL
541,BHJMP,Almirah
542,BHMP,Slate
543,BHTJP,Almirah
544,BJAZP,Slate
545,BJD,Conch
546,BJNP,Extension Board
547,BJSAP,Bat
548,BJSPP,Cauliflower
549,BJSTP,Room Cooler
550,BKNP,Cot
551,BKVP,Ganna Kisan
552,BLND,BOX
553,BLOKSP,Lunch Box
554,BLRP,BUCKET
555,BLSD,Telephone
556,BMD,Wheel Barrow
557,BMFP,BISCUIT
558,BMJP,Tractor Chalata Kisan
559,BMTRP,Plate Containing Food
560,BMVSP,Boat with Man and Sail
561,BNARP,Ganna Kisan
562,BNAVP,Almirah
563,BND,Kitchen Sink
564,BNDL,Ganna Kisan
565,BNSKP,Pan
566,BPKP,Crane
567,BPSJP,Gas Cylinder
568,BRKP(D),Bat
569,BRM,BENCH
570,BRP,Triangle
571,BRPPA,Slate
572,BRSP,Basket containing Fruits
573,BSHSP,Ganna Kisan
574,BSKRP,Helicopter
575,BSPM,Cot
576,BSSPA,Air Conditioner
577,BSUSP,Truck
578,BTARP,Crane
579,BTP,Auto- Rickshaw
580,BUNKD,Bottle
581,BYPP,Letter Box
582,CDF,Helicopter
583,CHALP,Tyres
584,CHKAP,Hat
585,COAP,Stumps
586,CVGRP,Helmet
587,DAMK,Water Melon
588,DCLF,Whistle
589,DJHP,Ludo
590,DKSP,CHESS BOARD
591,DMSK,Ring
592,DPI,Punching Machine
593,DPIN,Punching Machine
594,DSPVAD,Harmonium
595,DSSP,Tractor Chalata Kisan
596,DUUK,Lunch Box
597,EP,Tractor Chalata Kisan
598,ESP,Ganna Kisan
599,FDLP,DIAMOND
600,FIP,Helmet
601,FJP,CHAPATI ROLLER
602,FPI,Hat
603,GAGUP,Sewing Machine
604,GJNP,Gift Pack
605,GJPP,Pen Stand
606,GPI,Lady Finger
607,HAMS,Telephone
608,HAPA,Ring
609,HBP,Ganna Kisan
610,HCP,Tractor Chalata Kisan
611,HIMJKP,Apple
612,HMRD,Gift Pack
613,HMSKP,Whistle
614,HSP,Tractor Chalata Kisan
615,HSS,DIAMOND
616,HUSP,Bread
617,ICF,Grapes
618,IDRP,Battery Torch
619,IICR,Telephone
620,IMK,Football
621,INCP,Ganna Kisan
622,INDPP,Helicopter
623,IPBP,Trumpet
624,IRNP,Winnower
625,JAAP,Tractor Chalata Kisan
626,JAC,Ganna Kisan
627,JAJGP,Mike
628,JANADIP,Dolli
629,JANKRPR,Bat
630,JANSAPP,COMPUTER
631,JAPL,HOCKEY & BALL
632,JASD,Tractor
633,JASP,Dish Antenna
634,JASSP,CARPET
635,JASWP,Walking Stick
636,JD,Cot
637,JDL,Football Player
638,JGHTP,Mike
639,JHBHP,Pen Stand
640,JJJKP,Shoe
641,JKIP,Tractor Chalata Kisan
642,JKPP,Pot
643,JKPPAP,Battery Torch
644,JKPS,Tractor Chalata Kisan
645,JLOKP,Apple
646,JNJP,Chappals
647,JNP,Glass Tumbler
648,JNSMP,Neck Tie
649,JP,Tractor Chalata Kisan
650,JPD,Toffees
651,JRVP,Walking Stick
652,JSP,Sewing Machine
653,JSVP,Key
654,JTVP,Sewing Machine
655,KARASP,Mike
656,KBD,Plastering Trowel
657,KEC,Television
658,KHSNP,Shoe
659,KJP,COCONUT FARM
660,KKJHS,Helicopter
661,KKMP,Bread Toaster
662,KMSP,Nail Cutter
663,KPJP,Tractor Chalata Kisan
664,KPOI,Iron
665,KPPR,Sewing Machine
666,KPPU,Saw
667,KRUP,Chappals
668,KSRP,Chappals
669,KSRSP,Ganna Kisan
670,LAJSP,Carrom Board
671,LCD,Tyres
672,LIP,Letter Box
673,LJGP,Mike
674,LJSPTY,Clip
675,LJVM,Cake
676,LKSGM,Balloon
677,LOGAP,Matchbox
678,LOKJANP,Whistle
679,LSD,Helmet
680,LTSP,Auto- Rickshaw
681,MAHKRS,DIAMOND
682,MANJP,Bead Necklace
683,MANKP,Soap Dish
684,MANPA,Tooth Brush
685,MARD,Boat with Man and Sail
686,MDKMGPH,Bangles
687,MIMM,Gas Cylinder
688,MKAT,Telephone
689,MKDVP,Gas Cylinder
690,MLJK,Laptop
691,MLPOIRF,Tractor Chalata Kisan
692,MNF,Star
693,MNM,Battery Torch
694,MNVP,Cup & Saucer
695,MPEP,Bicycle
696,MPJVP,Pressure Cooker
697,MPOI,Whistle
698,MPP,Telephone
699,MSHP,Refrigerator
700,MSJP,Stool
701,MSKK,Balloon
702,MYSP,Bottle
703,NABMUP,Gift Pack
704,NALAP,Glass Tumbler
705,NAPT,BELT
706,NATJUP,Tractor Chalata Kisan
707,NATWOMP,Gas Stove
708,NAVAP,Stethoscope
709,NAWPP,Mike
710,NDDHP,Battery Torch
711,NDPOI,Pen Stand
712,NDPP,Globe
713,NED,Bat
714,NEINDP,Walking Stick
715,NFFF,CUTTING PLIERS
716,NIDP,Auto- Rickshaw
717,NIRBHP,Pencil Box
718,NJANP,Drill Machine
719,NJP,Hour Glass
720,NNKP,Plastering Trowel
721,NNMP,Ganna Kisan
722,NPRP,Tractor Chalata Kisan
723,NPSF,Petrol Pump
724,NRCONG,Boat with Man and Sail
725,NRCP,Scissors
726,NSBHP,Ganna Kisan
727,NSCBRAP,Auto- Rickshaw
728,NTK,Ganna Kisan
729,NVSP,Gas Cylinder
730,OPD,Boat with Man and Sail
731,PDP,Ink Pot & Pen
732,PHJSP,Whistle
733,PHSP,Ganna Kisan
734,PJSP,Road Roller
735,PLM,Man Blowing Turha
736,PMP,Batsman
737,PMPT,Batsman
738,PNP,COCONUT FARM
739,PPID,Table
740,PRISMP,DIAMOND
741,PRJP,Ring
742,PRSHP,Helicopter
743,PRSTP,Syringe
744,PSPL,Key
745,PSPU,Whistle
746,PUDEP,Tractor Chalata Kisan
747,PUJP,Violin
748,PUNEKP,Key
749,PUNP,Helmet
750,RABSP,Telephone
751,RACHEP,Diesel Pump
752,RADM,Cot
753,RAHIS,Helicopter
754,RAIM,Whistle
755,RAJADP,Tractor Chalata Kisan
756,RAJPT,Basket containing Fruits
757,RAJSPTY,Telephone
758,RAJUP,Walking Stick
759,RAKRD,Door Bell
760,RANP,Walking Stick
761,RAPI,Helicopter
762,RAPTY,Shoe
763,RASAP,Cup & Saucer
764,RASHLSP,DIAMOND
765,RASJGP,CHESS BOARD
766,RASLP,COCONUT FARM
767,RASMARP,Bat
768,RBJJP,Colour Tray & Brush
